host_response_time,host_listings_count,host_has_profile_pic,neighbourhood,property_type,room_type,accommodates,square_feet,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,amenities_count,amenities_premium_count,professionalism
within an hour,24.0,t,Ciutat Vella,Serviced apartment,Entire home/apt,4,,79,31,345,0,,22,2,0.95
within an hour,17.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,100,3,297,11,98.0,39,7,0.8500000000000001
within a day,3.0,t,Sant Martí,Apartment,Private room,2,,17,2,60,47,92.0,17,3,0.42500000000000004
,2.0,t,Sant Martí,Apartment,Private room,2,,27,1,0,23,85.0,43,12,0.2
within a day,91.0,t,Gràcia,Apartment,Private room,1,,28,32,362,0,,21,2,0.875
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,40,2,42,51,98.0,24,0,0.4
,0.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,2,,100,30,31,0,,13,1,0.1
within an hour,12.0,t,Ciutat Vella,Serviced apartment,Entire home/apt,2,,63,32,155,2,100.0,36,2,0.75
within a few hours,1.0,t,Sants-Montjuïc,Apartment,Entire home/apt,2,0.0,87,3,272,101,95.0,38,6,0.6375
within an hour,1.0,t,Eixample,Loft,Entire home/apt,6,,195,1,160,40,90.0,23,3,0.6
within a day,91.0,t,Ciutat Vella,Apartment,Private room,1,,31,32,364,0,,22,2,0.875
within an hour,9.0,t,Eixample,Apartment,Entire home/apt,4,,180,3,0,17,78.0,29,3,0.5
within a few hours,0.0,t,Ciutat Vella,Apartment,Private room,2,,22,4,12,152,94.0,34,4,0.2875
within an hour,31.0,t,Horta-Guinardó,Apartment,Entire home/apt,5,,85,1,0,6,67.0,18,2,0.55
within a day,91.0,t,Eixample,Serviced apartment,Private room,1,,34,32,344,0,,28,3,0.875
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,7,,60,2,139,30,87.0,22,0,0.6
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,49,3,161,16,99.0,11,0,0.6
a few days or more,21.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,355,1,364,2,,11,1,0.7625
within an hour,8.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,84,4,119,146,95.0,34,1,0.7
within an hour,1.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,78,32,0,0,,22,2,0.4
within an hour,2.0,t,Eixample,Apartment,Private room,2,,84,1,344,2,100.0,11,1,0.85
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,3,,75,2,145,5,84.0,9,1,0.65
,1.0,t,Sant Andreu,Apartment,Private room,1,,25,1,0,1,100.0,17,3,0.15000000000000002
within an hour,1.0,t,Horta-Guinardó,Apartment,Private room,2,,30,1,2,49,93.0,8,1,0.4
within an hour,42.0,t,Eixample,Apartment,Entire home/apt,6,484.0,90,3,264,0,,12,1,0.8500000000000001
within an hour,2.0,t,Eixample,Apartment,Private room,1,,45,2,360,9,96.0,14,0,0.85
within a few hours,3.0,t,Eixample,Apartment,Private room,1,,25,2,59,18,92.0,41,8,0.48750000000000004
,1.0,t,Gràcia,Apartment,Private room,1,,40,2,0,3,100.0,21,4,0.15000000000000002
within a day,133.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,89,32,342,0,,23,2,0.875
,1.0,t,Eixample,Apartment,Private room,1,,60,1,0,0,,7,2,0.15000000000000002
within an hour,9.0,t,Sant Martí,Apartment,Entire home/apt,6,,500,4,147,24,87.0,16,1,0.7
,1.0,t,Eixample,Apartment,Private room,1,,100,1,0,1,80.0,12,1,0.15000000000000002
within an hour,126.0,t,Ciutat Vella,Apartment,Entire home/apt,5,,150,32,178,0,,10,1,0.8
within an hour,3.0,t,Eixample,Hostel,Private room,3,,179,1,175,57,94.0,20,3,0.65
within an hour,17.0,t,Gràcia,Apartment,Entire home/apt,6,,254,3,349,3,100.0,13,0,0.95
within a day,133.0,t,Sants-Montjuïc,Apartment,Entire home/apt,3,,65,180,349,0,,21,2,0.875
within an hour,1.0,t,Eixample,Apartment,Private room,2,,48,1,2,4,90.0,22,1,0.4
within an hour,23.0,t,Eixample,Apartment,Entire home/apt,6,,82,1,81,9,67.0,19,2,0.65
within a day,72.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,75,3,154,44,86.0,27,0,0.675
,1.0,t,Ciutat Vella,Boat,Entire home/apt,8,,800,1,272,0,,19,3,0.45
,3.0,t,Eixample,Apartment,Private room,2,,65,50,180,4,100.0,21,2,0.4
within an hour,1.0,t,Horta-Guinardó,Apartment,Shared room,2,,48,2,78,69,95.0,31,8,0.5
within a day,77.0,t,Ciutat Vella,Serviced apartment,Private room,1,,40,32,31,0,,10,1,0.475
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,2,,29,3,35,186,90.0,14,3,0.45
within an hour,2.0,t,Ciutat Vella,Apartment,Entire home/apt,3,,45,31,281,21,96.0,39,7,0.75
within an hour,3.0,t,Sant Martí,Loft,Private room,2,,60,3,168,2,40.0,15,2,0.65
,1.0,t,Gràcia,Guest suite,Private room,1,,35,2,33,0,,9,1,0.15000000000000002
within an hour,4.0,t,Eixample,Apartment,Entire home/apt,6,,160,3,314,102,90.0,34,4,0.85
within a few hours,2.0,t,Gràcia,Apartment,Private room,2,,20,3,270,194,97.0,14,0,0.6875
within a few hours,0.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,70,2,174,0,,16,3,0.4875
within an hour,111.0,t,Eixample,Apartment,Entire home/apt,4,,325,4,266,110,86.0,29,5,0.9
within a day,2.0,t,Sant Martí,Apartment,Private room,2,,20,5,301,73,82.0,13,1,0.725
within a few hours,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,31,4,218,58,90.0,17,1,0.6375
within an hour,2.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,4,,69,10,103,7,100.0,27,3,0.65
within an hour,2.0,t,Eixample,Apartment,Private room,2,,70,1,90,0,,12,1,0.55
within a few hours,1.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,4,,15,31,322,1,100.0,24,0,0.7375
within a few hours,2.0,t,Sant Martí,Apartment,Private room,2,,50,2,170,0,,15,2,0.5875
within an hour,49.0,t,Ciutat Vella,Apartment,Entire home/apt,3,,63,1,83,25,91.0,17,1,0.65
within a few hours,2.0,t,Sant Martí,Apartment,Private room,2,,29,3,12,31,94.0,29,6,0.3875
within an hour,8.0,t,Eixample,Apartment,Private room,3,,30,1,303,18,94.0,27,0,0.9
within an hour,1.0,t,Sants-Montjuïc,Guest suite,Private room,2,,65,1,106,8,85.0,14,0,0.6
within an hour,4.0,t,Sant Martí,Apartment,Private room,2,,38,1,154,4,90.0,54,16,0.65
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,79,2,133,3,87.0,19,0,0.6
,1.0,t,Eixample,Apartment,Entire home/apt,2,,79,17,0,0,,9,1,0.15000000000000002
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,40,2,54,9,96.0,15,1,0.5
within a few hours,0.0,t,Ciutat Vella,Apartment,Private room,3,,90,4,42,0,,6,1,0.2875
within a day,72.0,t,Gràcia,Apartment,Entire home/apt,4,,95,32,342,0,,18,0,0.875
within an hour,6.0,t,Ciutat Vella,Loft,Entire home/apt,2,,39,32,321,9,96.0,24,2,0.9
within a few hours,7.0,t,Eixample,Apartment,Private room,2,,19,30,324,0,,12,1,0.8375
,2.0,t,Eixample,Apartment,Private room,2,,26,1,0,0,,12,1,0.2
,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,18,1,0,36,91.0,11,2,0.15000000000000002
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,50,5,8,4,93.0,10,1,0.4
within an hour,5.0,t,Horta-Guinardó,Apartment,Private room,2,,22,2,171,0,,22,1,0.65
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,1,,23,3,99,108,92.0,21,3,0.55
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,40,2,14,103,94.0,26,5,0.4
,1.0,t,Ciutat Vella,Apartment,Private room,2,,30,2,0,0,,10,3,0.15000000000000002
within an hour,5.0,t,Horta-Guinardó,Condominium,Entire home/apt,6,,150,4,276,45,95.0,14,2,0.75
within an hour,49.0,t,Ciutat Vella,Loft,Entire home/apt,2,,60,1,65,21,89.0,18,1,0.65
within a few hours,9.0,t,Ciutat Vella,Apartment,Private room,2,,150,31,348,0,,29,2,0.8375
,1.0,t,Ciutat Vella,Apartment,Private room,1,,15,1,0,7,86.0,9,2,0.15000000000000002
within a few hours,28.0,t,Eixample,Apartment,Entire home/apt,6,,240,3,148,1,80.0,16,1,0.6875
,1.0,t,Sant Martí,Apartment,Private room,2,,75,4,0,0,,13,2,0.15000000000000002
within an hour,3.0,t,Sant Martí,Apartment,Private room,2,,35,2,344,25,94.0,25,1,0.85
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,1,,21,5,13,42,97.0,17,2,0.45
,1.0,t,Eixample,Other,Private room,2,,45,1,0,12,90.0,35,16,0.15000000000000002
within an hour,18.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,15,31,300,7,74.0,23,0,0.8500000000000001
within an hour,4.0,t,Eixample,Apartment,Private room,2,,30,15,297,16,95.0,15,4,0.75
within an hour,131.0,t,Sant Martí,Apartment,Entire home/apt,5,,138,1,297,0,,18,1,0.9
within an hour,3.0,t,Ciutat Vella,Apartment,Private room,2,,90,2,339,37,88.0,26,1,0.85
within a day,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,25,2,9,1,,14,1,0.275
,1.0,t,Eixample,Apartment,Private room,2,,50,2,36,57,91.0,4,1,0.15000000000000002
within an hour,4.0,t,Sants-Montjuïc,Apartment,Private room,1,,17,2,149,30,94.0,15,1,0.65
within an hour,1.0,t,Gràcia,Apartment,Private room,2,,60,2,33,9,89.0,7,1,0.4
within an hour,1.0,t,Sant Martí,Loft,Entire home/apt,2,,111,1,266,140,96.0,44,12,0.7
within an hour,3.0,t,Horta-Guinardó,Condominium,Private room,1,,25,2,253,48,93.0,20,2,0.75
within an hour,44.0,t,Eixample,Apartment,Entire home/apt,4,,5000,2,309,13,82.0,16,0,0.95
within an hour,1.0,t,Eixample,Apartment,Private room,2,,42,4,200,1,100.0,6,1,0.6
within a few hours,3.0,t,Nou Barris,Apartment,Private room,2,,42,1,0,2,100.0,11,2,0.3875
within an hour,2.0,t,Sant Martí,Apartment,Entire home/apt,5,,260,31,221,11,95.0,15,3,0.75
within an hour,40.0,t,Eixample,Serviced apartment,Entire home/apt,2,,140,1,125,4,100.0,31,2,0.75
within an hour,13.0,t,Eixample,Apartment,Entire home/apt,6,1615.0,700,1,108,4,95.0,24,1,0.75
within a few hours,101.0,t,Eixample,Apartment,Entire home/apt,4,,100,3,323,19,84.0,25,0,0.9375
